kelime,sesli,anlam,hece
a,a,"Şaşma, hatırlama, sevinme, acıma, üzülme, kızma vb. duyguların anlatımına güç kazandıran söz",1
aba,aa,abla,2
aba güreşi,aaüei,Aba giyilerek ve bele kuşak bağlanarak yapılan bir güreş türü,5
abacı,aaı,Aba yapan veya satan kimse,3
abacılık,aaıı,Abacının yaptığı iş,4
abadi,aai,abadi kâğıt,3
abajur,aau,"Işığı bir yere toplamak, doğrudan doğruya gözlere vurmasını önlemek için kullanılan, kâğıt, kumaş, maden veya renkli camdan yapılmış lamba siperi",3
abajurcu,aauu,Abajur yapan veya satan kimse,4
abajurculuk,aauuu,Abajurcunun yaptığı iş,5
abajurlu,aauu,Abajuru olan,4
abajursuz,aauu,Abajuru olmayan,4
abaküs,aaü,sayı boncuğu,3
abalı,aaı,Aba giymiş olan,3
Abana,aaa,Kastamonu iline bağlı ilçelerden biri,3
abandırma,aaıa,Abandırmak işi,4
abandırmak,aaıa,Bir kimsenin veya bir şeyin bir yere veya bir kimseye yaslanmasını sağlamak,4
abandone,aaoe,Geminin suya gömülmesi,4
abani,aai,"Genellikle sarık, bohça, kundak ve yorgan yüzü yapımında kullanılan, zemini beyaz, üzerinde safran renginde nakışlar bulunan ipek kumaş",3
abanma,aaa,Abanmak işi,3
abanmak,aaa,"Eğilerek bir şeyin, bir kimsenin üzerine kapanmak",3
abanoz,aao,"Abanozgillerden, sıcak ülkelerde yetişen, kerestesinden yararlanılan birçok ağacın ortak adı (Diospyros ebenum)",3
abanozgiller,aaoie,"İki çeneklilerden, sıcak ülkelerde yetişen bir bitki familyası",5
abanozlaşma,aaoaa,Abanozlaşmak durumu,5
abanozlaşmak,aaoaa,Ağaç gibi maddeler suda uzun süre kalarak kararmak,5
abartı,aaı,"Bir şeyi, bir olayı olduğundan büyük veya çok gösterme; mübalağa",3
abartıcı,aaıı,"Abartıyı huy edinen (kimse); abartmacı, mübalağacı",4
abartıcılık,aaııı,"Abartıcı olma durumu; abartmacılık, mübalağacılık",5
